seed,novel_training_fraction,novel_training_n,auroc,brier,ece,calibration_slope,sharpness,high_confidence_error,mean_prediction
0,0.0,0,0.7832493495959665,0.20945221773712247,0.2134615329141762,0.7380472549792911,0.750782476744065,0.13550600343053174,0.5312051337524905
0,0.01,80,0.7866936275598336,0.20564294715278433,0.20677337813662047,0.7472912498583012,0.7541792469672817,0.11916666666666667,0.5378932885300463
0,0.02,160,0.7888826783322542,0.20315869886938628,0.20656580589866502,0.7752295992264394,0.7497870993452785,0.1354895104895105,0.5381008607680016
0,0.05,400,0.8007341442833401,0.19421529527729484,0.1953007200911609,0.8039298815074577,0.7554461460923739,0.11955593509820667,0.5493659465755057
0,0.1,800,0.8159448623340682,0.17934221711640672,0.1735791812003913,0.8857075122934108,0.7565932805769187,0.07077435470441298,0.5710874854662754
0,0.2,1600,0.8430914878299063,0.15531660880281523,0.13661717505235432,0.9649452271594491,0.7719649524647092,0.04952510176390773,0.6080494916143123
1,0.0,0,0.7714590483800075,0.2166475944365101,0.2219947344747036,0.6708235576263281,0.7559956804896222,0.16488925348646433,0.5325052655252963
1,0.01,80,0.7770456539633737,0.21082740288506535,0.21542631971857917,0.7095799693488589,0.7546796774935092,0.13582342954159593,0.5390736802814209
1,0.02,160,0.7811371193522278,0.2064966874824788,0.21019482255115976,0.7109250940897477,0.7552149822038373,0.13739837398373983,0.5443051774488403
1,0.05,400,0.8008428271736407,0.18842191360476268,0.19032447301095762,0.8215477067344403,0.7532149079915459,0.09622302158273381,0.5641755269890424
1,0.1,800,0.8116826685658096,0.17932439089787292,0.17711421009016048,0.8637496307908569,0.7559115740814771,0.07081174438687392,0.5773857899098396
1,0.2,1600,0.8362622035007277,0.15952735994418887,0.14757594853723813,0.9487973485863297,0.7678878023720161,0.04874551971326165,0.606924051462762
2,0.0,0,0.7762376745947863,0.20727294521849077,0.20920943424881178,0.6613214852272358,0.7619541436609197,0.15879163439194424,0.551957232417855
2,0.01,80,0.7755424354852485,0.20661867041090765,0.2109904199690102,0.6936376386923859,0.7541346607587387,0.15020746887966804,0.5501762466976564
2,0.02,160,0.782167834999437,0.20353547938775082,0.2054861495729795,0.7089294072146304,0.7604360298096335,0.12471655328798185,0.5556805170936873
2,0.05,400,0.7959305133721986,0.1906585210606726,0.18631591701023714,0.7370002102009778,0.7687107994044718,0.10220994475138122,0.5748507496564295
2,0.1,800,0.8191579172225396,0.17517157798282657,0.17251955993864265,0.8518689938755278,0.7683688309119446,0.06312769010043041,0.5886471067280239
2,0.2,1600,0.8296016310462309,0.16120916034321722,0.14652901118067577,0.889452383694058,0.7740919566861617,0.05028644175684278,0.6146376554859909
3,0.0,0,0.7749741383049583,0.2164148490755878,0.22150559764634833,0.679172358106592,0.7570676473778728,0.17133706965572457,0.5294944023536516
3,0.01,80,0.7721905524153131,0.21396517319502148,0.21647843610351067,0.6691634273775513,0.7544427571134581,0.18189509306260576,0.5345215638964894
3,0.02,160,0.7909076756797868,0.21015104963594047,0.2233101054207965,0.7551203882143619,0.7534597281724847,0.15417743324720068,0.5276898945792036
3,0.05,400,0.7985431888821747,0.1932961617486431,0.19230549118028192,0.7835189313684938,0.7579298870456681,0.11012145748987855,0.5586945088197179
3,0.1,800,0.8165878486575389,0.18521827915408326,0.1900357953243147,0.8564615203076161,0.7593919452630057,0.0947533281127643,0.5609642046756853
3,0.2,1600,0.8491293179820927,0.15310977828446293,0.1375025135258175,1.0053140982419226,0.7735180932436815,0.031901041666666664,0.6134974864741825
4,0.0,0,0.7606433725171788,0.22444469430650735,0.2255298476343193,0.6207221254825896,0.7597149594153989,0.1795275590551181,0.5276368190323474
4,0.01,80,0.7690855580287537,0.21580247594832777,0.216719644002243,0.6707187078145375,0.7573390106724122,0.1639871382636656,0.5364470226644236
4,0.02,160,0.7874727741926615,0.20256919421402236,0.2016032979825511,0.724368184997436,0.7629302410491589,0.13131313131313133,0.5515633686841155
4,0.05,400,0.796160976260635,0.19669167232699553,0.19775954250835548,0.7807456275797414,0.7583737808713327,0.10828547990155865,0.5554071241583112
4,0.1,800,0.8066720765904153,0.18444777728581424,0.1801140759946689,0.8226906937066638,0.7600507448064748,0.08313725490196078,0.5730525906719979
4,0.2,1600,0.8288180492030125,0.16501056920592372,0.15015528776528028,0.8966675894055178,0.7693919914179324,0.06048109965635739,0.6030113789013865
5,0.0,0,0.7759190482665351,0.21649498713288343,0.23160135943230944,0.7210953300654288,0.7498367100834227,0.15013648771610555,0.5287319739010239
