scenario,seed,outcome_prevalence,bayes_brier,model_brier,ece,auroc,novelty_auroc
main,0,0.7681666666666667,0.09134832220980994,0.22194965391386964,0.23551523900926752,0.7615107440682352,0.5727010277777778
concept_shift_only_no_feature_shift,0,0.4711666666666667,0.11908731631376547,0.220046519769657,0.12566330531448,0.7540722921814107,0.5025904722222222
prevalence_matched_novel,0,0.3468333333333333,0.11071916697428584,0.23222811334442645,0.18469342221155724,0.7471399148470118,0.5597124444444445
main,1,0.7695,0.09175536810787897,0.2154341992681468,0.23147897484443064,0.7712139627968003,0.5556496111111111
concept_shift_only_no_feature_shift,1,0.4658333333333333,0.11917990701464261,0.2136952484160337,0.11871395285394086,0.7656987209720947,0.4862706666666667
prevalence_matched_novel,1,0.3445,0.10918566274503944,0.22600351420248121,0.19201753278188297,0.7673432018235783,0.5536556666666667
main,2,0.7646666666666667,0.092461149841386,0.2238432522057804,0.2330999784599033,0.7576715091222082,0.5676315555555556
concept_shift_only_no_feature_shift,2,0.48233333333333334,0.12079379394283349,0.22604842471754424,0.13581568961162982,0.7478500937392505,0.4991621388888889
prevalence_matched_novel,2,0.3433333333333333,0.10743573645494414,0.22626717100819754,0.18447628007869443,0.7626148292346361,0.5673434444444445
main,3,0.7616666666666667,0.09101998281817023,0.22016289926317473,0.22896255707931243,0.7655142231947484,0.5648199444444444
concept_shift_only_no_feature_shift,3,0.4765,0.1202019813352566,0.21912439027477337,0.13305593082050265,0.7674586494900568,0.4955489722222222
prevalence_matched_novel,3,0.3451666666666667,0.10919522165000106,0.22615707549712624,0.18114025207860146,0.7581071749286189,0.5624326666666667
main,4,0.766,0.09138163252199603,0.22532038080624928,0.23758512931375467,0.756412890932038,0.5646260555555556
concept_shift_only_no_feature_shift,4,0.481,0.11974754896806755,0.22713252372563655,0.1387611088165292,0.7499183265079219,0.4904013055555556
prevalence_matched_novel,4,0.3626666666666667,0.11005500217809536,0.22718504242921492,0.16780725288316226,0.7516564067114817,0.5671749722222222
main,5,0.7695,0.09176871609516671,0.21336197105009372,0.22532772203577883,0.7702086867812703,0.5624860277777778
concept_shift_only_no_feature_shift,5,0.4633333333333333,0.11931674271342506,0.21304020843968954,0.11621850771729747,0.7648386880557666,0.4934767222222223
prevalence_matched_novel,5,0.34833333333333333,0.11140948072280753,0.22936548655818662,0.19054435221914773,0.7606184608230644,0.55259025
main,6,0.761,0.09050740281512283,0.21905053099190763,0.22738507758591556,0.7706961465834122,0.5679141388888889
concept_shift_only_no_feature_shift,6,0.46316666666666667,0.1212662346004179,0.22277110679315862,0.13537537278395245,0.7545128513525455,0.49066275000000004
prevalence_matched_novel,6,0.356,0.10987997506348306,0.23287404218121527,0.17115404328743086,0.741569277727375,0.5700141944444445
main,7,0.7701666666666667,0.09123494970580633,0.21692636359259612,0.24288460370037465,0.7833281207163627,0.55817275
concept_shift_only_no_feature_shift,7,0.4805,0.11945705854804457,0.22533502991452808,0.1445127409948976,0.7592292321064785,0.49438027777777777
prevalence_matched_novel,7,0.35433333333333333,0.10863456445161711,0.22299723860658954,0.1741406265040209,0.7629851129001944,0.5658526388888889
main,8,0.7675,0.08927809927592129,0.2096321183577027,0.22879740332740398,0.7837748434575166,0.5706401388888889
concept_shift_only_no_feature_shift,8,0.4776666666666667,0.11972810677826205,0.22224553460453936,0.13867297692196617,0.758858674039005,0.4969743333333334
prevalence_matched_novel,8,0.3461666666666667,0.11119191937560052,0.2235541722522069,0.18714359871890665,0.7669359410343872,0.5654893055555555
main,9,0.76,0.0922821741530374,0.21984183361779758,0.21938949857913403,0.7549145650584795,0.5735548333333332
concept_shift_only_no_feature_shift,9,0.48283333333333334,0.11777537967669711,0.22000767558633724,0.1308693952493697,0.761186046974706,0.5015709722222222
prevalence_matched_novel,9,0.3463333333333333,0.11078240231123315,0.23597309360248309,0.19410613693488604,0.7462951765392429,0.5733245277777778
main,10,0.7686666666666667,0.09106266727102051,0.21440809823059423,0.22163524278200042,0.7670576818773729,0.5749295
concept_shift_only_no_feature_shift,10,0.4745,0.11971815527950984,0.22289461933812124,0.12837323891677105,0.7494453072441419,0.5040046666666667
prevalence_matched_novel,10,0.35633333333333334,0.10904488995296015,0.23244055914867173,0.17925173589585558,0.7496372149736538,0.5740681944444445
main,11,0.753,0.09192202605668635,0.21872555815703845,0.2130947275180631,0.7623957610852139,0.5617988333333334
concept_shift_only_no_feature_shift,11,0.4935,0.12043238502884439,0.2256023272634423,0.1394323395910323,0.7528416746874667,0.49883397222222225
prevalence_matched_novel,11,0.3496666666666667,0.1101794381870017,0.2261654250579984,0.19120312534891779,0.7744277213073982,0.5681046944444444
main,12,0.7603333333333333,0.09179629174270978,0.22414247230762793,0.2392623997530541,0.7689614393316255,0.5708446666666667
concept_shift_only_no_feature_shift,12,0.473,0.11953880149512687,0.22242980740063398,0.13026887329906361,0.751972529674308,0.4968743333333333
prevalence_matched_novel,12,0.35183333333333333,0.11028350683290297,0.225710733848311,0.1625628333617503,0.7450333929012327,0.55933875
main,13,0.77,0.09092149122324032,0.22227253248240553,0.2457703500880911,0.7743313570487482,0.5617260277777778
concept_shift_only_no_feature_shift,13,0.4791666666666667,0.12094910888251013,0.22087882323603186,0.13919721336942126,0.7650004591304347,0.48875019444444445
prevalence_matched_novel,13,0.3505,0.11048357570061514,0.22502163694998073,0.18179851232249056,0.7646172098439232,0.5642352500000001
main,14,0.7638333333333334,0.09117365501489363,0.20625216467681018,0.21481457812926386,0.7824164077269391,0.57387875
