auroc,brier,ece,calibration_slope,sharpness,high_confidence_error,mean_prediction,model,training_n,regime,seed
0.8185200702148708,0.16549259030329685,0.054343234755071586,0.6860805118920436,0.8091508009484147,0.09250902527075812,0.3562775763876428,Logistic regression,250,reference,0
0.7188283642582857,0.24077690146285363,0.21943659603820562,0.39481537058030547,0.7945358119812802,0.2213072568193515,0.5515651785691577,Logistic regression,250,novel,0
0.7934863208192077,0.17389210187327334,0.030423421910097413,1.137642323625341,0.7295681262810833,0.06093189964157706,0.33586386284965464,Random forest,250,reference,0
0.7391566584081106,0.24283851010660312,0.2782557195314182,0.870845523546743,0.6894080317506532,0.2147239263803681,0.47741094713524845,Random forest,250,novel,0
0.7772969962701862,0.19932477487198677,0.13034989400968294,0.3782471137237322,0.8615452274570587,0.1721411192214112,0.34399302258091713,Gradient boosting,250,reference,0
0.6884318332128752,0.2862846024114787,0.2710741335085918,0.22611912551938965,0.8539506895787172,0.3048549810844893,0.5427373328960321,Gradient boosting,250,novel,0
0.8014032710980914,0.1731668045821425,0.06256770925671157,1.5062828770234613,0.6909687195064865,0.052083333333333336,0.3812849188582743,Neural network,250,reference,0
0.6809088644174589,0.25088832409676337,0.2672937656420932,0.7326424979226556,0.6735363663602818,0.14814814814814814,0.48837290102457354,Neural network,250,novel,0
0.8302097197037702,0.15774980216927803,0.02411719968534258,0.8358562005412368,0.7927838663520093,0.06705385427666315,0.3506931302338009,Logistic regression,500,reference,0
0.7428355472160924,0.23039042189972792,0.21895417976538106,0.5145238563571524,0.7755909448443868,0.19235668789808918,0.5391958361911913,Logistic regression,500,novel,0
0.8044929795514523,0.16911227119207092,0.027380694539105258,1.154102930309112,0.7339636765393434,0.05705059203444564,0.34010136365108634,Random forest,500,reference,0
0.742170569972757,0.24232364285342003,0.2771609559295981,0.8604815152748669,0.6954196389814176,0.18382352941176472,0.4785057107370685,Random forest,500,novel,0
0.7865550031760904,0.18475401844316722,0.09073850224103042,0.49747290209562395,0.8307285631848472,0.1396813634679511,0.3370110345532259,Gradient boosting,500,reference,0
0.6874804042339492,0.28549760730058327,0.2668368639518479,0.2708826765913937,0.8199997439295524,0.33319755600814666,0.5103330920692212,Gradient boosting,500,novel,0
0.641891329695033,0.22608885599530978,0.10506316952434205,2.0968501902424332,0.5677701638089913,,0.4479335066666998,Neural network,500,reference,0
0.5585879554266656,0.26940745092835106,0.29223032697208606,0.7391551659653938,0.5683025683003358,,0.4634363396945806,Neural network,500,novel,0
0.8337799653030922,0.15560566936252082,0.019002056989531474,0.8756184213079471,0.7905020569895315,0.061883899233296825,0.34634735320676485,Logistic regression,1000,reference,0
0.767760609395978,0.21367798268146088,0.2055553474160385,0.6041505842724403,0.7717117728500779,0.16202203499675957,0.5501113192506282,Logistic regression,1000,novel,0
0.8138258832970395,0.16524754599211333,0.026061570651692494,1.1071891254157586,0.7448852590553479,0.05860805860805861,0.3387028867976698,Random forest,1000,reference,0
0.7518953355908458,0.23171535471120866,0.2621847310964743,0.8681420223018887,0.7008822805176105,0.1350293542074364,0.4934819355701923,Random forest,1000,novel,0
0.8044785622152653,0.17290849388817617,0.06474706620152393,0.6176453122836514,0.8141647260688241,0.1062634989200864,0.3394108781862567,Gradient boosting,1000,reference,0
0.7304380846007519,0.2460306751890036,0.23801746251979158,0.42586105073032904,0.7938713454487181,0.2362042289840124,0.5315178695483727,Gradient boosting,1000,novel,0
