model,regime,training_n,auroc_mean,auroc_std,brier_mean,brier_std,ece_mean,ece_std,calibration_slope_mean,calibration_slope_std,sharpness_mean,sharpness_std,high_confidence_error_mean,high_confidence_error_std,mean_prediction_mean,mean_prediction_std,seed_mean,seed_std
Gradient boosting,novel,250,0.7130755835758918,0.044201493694518854,0.27407370192244185,0.0286612791835884,0.2665079125817232,0.03530413286466481,0.3086206716591505,0.07147220556087502,0.8217344836429399,0.02116053080284603,0.30551329547662,0.06276296805728541,0.5172292963578154,0.03604384772181699,9.5,5.916079783099616
Gradient boosting,novel,500,0.7297578221205712,0.02710722470060292,0.25274365046554237,0.02114661883719485,0.24596851027094885,0.022376863281953197,0.3985419280033184,0.07110832720008968,0.7997109098386037,0.016923721302089027,0.2540741998545334,0.04667105766968974,0.5267769742685257,0.02317128547110225,9.5,5.916079783099616
Gradient boosting,novel,1000,0.7455966444915461,0.017339836082991333,0.23727398396023966,0.015780513070221817,0.23301217441713798,0.018240972347834283,0.48106535563681485,0.06510361262191819,0.7845175407101698,0.011604853773313462,0.2178525250986849,0.039118107431781415,0.5329280618567457,0.015481600737721403,9.5,5.916079783099616
Gradient boosting,novel,2000,0.7609855485782712,0.015316750776898713,0.22345863242102076,0.01388601539662578,0.22114482474485989,0.018951478476324096,0.5543816270122105,0.05820251094770363,0.776803501433343,0.008902737388848964,0.1870927820107022,0.03792312405990653,0.542288109995772,0.01699342887607797,9.5,5.916079783099616
Gradient boosting,novel,4000,0.7671969246436593,0.012357250608542123,0.2178827112388857,0.008473304922842243,0.22153140355702133,0.013526108212481255,0.6219086884799148,0.04364983732241387,0.7646934557337474,0.0070448845560759825,0.16956604681600843,0.02166612161165496,0.5412897736822392,0.011257332669098393,9.5,5.916079783099616
Gradient boosting,novel,8000,0.7720034904449086,0.011905276390241299,0.2149475772712488,0.006901360194726671,0.22276408030737826,0.010794776555059192,0.6729180710723307,0.04445513074058793,0.7577500924171602,0.004079628413799167,0.15409555521322277,0.016359855710450493,0.5398109196926217,0.007714760777447839,9.5,5.916079783099616
Gradient boosting,reference,250,0.7659318494961497,0.017495168742324357,0.2001069042566407,0.007829719314882647,0.12348147155272246,0.013162157846653177,0.4122473459386248,0.03720156082077812,0.8415702246997853,0.016998170176416902,0.16126954977508334,0.013038599755896592,0.33619248013234265,0.03190695565777047,9.5,5.916079783099616
Gradient boosting,reference,500,0.787347342254226,0.00621758185173928,0.18266054395636305,0.004605138970092948,0.08359456703570625,0.013232356706717447,0.5529661922923794,0.05173557117763118,0.8171341963340625,0.01447243007524349,0.12264990042106753,0.011989812579126203,0.34391174496591703,0.02180508160675664,9.5,5.916079783099616
Gradient boosting,reference,1000,0.8046856020386908,0.006874829796113361,0.170575038074319,0.003941588435514499,0.0544076438652101,0.009466330496106205,0.6776802720330142,0.04304640812962075,0.8024600678840088,0.010216010405700329,0.09560079289410958,0.010121919107628066,0.34414019186943084,0.014602314945929389,9.5,5.916079783099616
Gradient boosting,reference,2000,0.8171591605052886,0.006259683870562317,0.16318358176954378,0.0032972514526383528,0.035711899764012324,0.006469524437730481,0.7823384002395419,0.03314719592404931,0.7927409064841294,0.006430408577974726,0.07904326309760112,0.006978224917158188,0.34705892921005665,0.01041911228398568,9.5,5.916079783099616
